entrytype,entrysubtype,key,title,author,editor,sortname,journaltitle,booktitle,series,organization,presort,url,date,urldate,isbn,issn,publisher,location,pages,volume,number,keywords,addendum,abstract,annotation,SS Rec Type,SS UID,Link Text,Larger Work,ID,Type,Orig Date,,,,
inbook,,dingxu1996,The Yi Script,Dingxu Shi,Peter T. Daniels and William Bright,Dingxu,,The World's Writing Systems,,,,,1996,,,,Oxford University Press,Oxford,239-241,,,script-yiii,,,,booksectn,bcr9869ye7,,The World's Writing Systems,,,1996,,,,
online,f,docker,Docker: Accelerated Container Application Development,,,,,,,,,https://www.docker.com,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,,,,,,,,
book,,don1989,Tai Dam-English English-Tai Dam Vocabulary Book,Baccam Don and Baccam Hung and Baccam Faluang and Dorothy Fippinger,,Don,,,,,,,1989,,0-88312-716-4,,The Anundsen Publishing Company,"Decorah, IA",,,,script-tavt,,"A Tai Dam-English English-Tai Dam dictionary. Each entry shows the Tai Dam written in the Tai Viet, modified Laotian and modified Vietnamese scripts, as well as the English equivalent.",,book,b9ae62abbc,,,0-88312-716-4,,1989,,,,
inproceedings,,donnelly2020,Writing and transliterating Swahili in Arabic script with Andika!,Kevin Donnelly,,Donnelly,,Grapholinguistics in the 21st Century,,,,http://www.fluxus-editions.fr/grafematik2020-files/donnelly-document.pdf,2020-06-17,,,,,,,,,"script-arab, lang-swa, lang-swh",,,"For centuries, Swahili was written in Arabic script, and hundreds of manuscripts in collections around the world testify to its long tradition of written literature. Over the last century, however, Swahili in Roman script has become the norm. Andika! (meaning Write! in Swahili) has two aims. The first is to make Swahili in Arabic script as easy to use as Swahili in Roman script – it is equally easy to read and write the the language in either script.The tools, based on the work of Marehemu Mu’allim Sheikh Yahya Ali Omar (Omar and Frankl,1997) provide a consistent, standardised transliteration of Swahili in Arabic script, and a one-to-one mapping of this to Swahili in Roman script. Documents can be typed in either script, and automatically transliterated to the other.",academic,lzx9zvmncm,,Grapholinguistics in the 21st Century,,paper,2020-06-17,,,,
inbook,,driem1986,Appendix IV - Anthology of Kiranti Scripts,George van Driem,,Driem,,A Grammar of Limbu,,,,,1986,,3-11-011282-5,,De Gruyter,Berlin,550-558,,,script-limb,,,,booksectn,z8nlwbpb8s,,A Grammar of Limbu,3-11-011282-5,,1986,,,,
article,,dronjic2011,"Mandarin Chinese compounds, their representation, and processing in the visual modality",Vedran Dronjic,,Dronjic,Writing Systems Research,,,,,http://www.tandfonline.com/doi/abs/10.1093/wsr/wsr005,2011,,,,,,,3,1,"script-hani, lang-cmn",,,"This article reviews a number of key linguistic and psycholinguistic findings pertaining to Mandarin Chinese compound words, their representation, and their processing in the visual modality. The article begins with a linguistic overview of Mandarin compounds. Next, the issue of the basic unit of representation in the Mandarin mental lexicon is discussed, and the conclusion is reached that this unit is the word rather than the morpheme. A number of factors influencing visual access to compounds in languages in general and Mandarin in particular are identified, and empirical findings on these factors are summarized. The article concludes by examining the relationship between Chinese orthography and compound processing in Mandarin, and by identifying a number of issues which await discussion in future research.(CR)(CR)Please note that, in order to read this article, you must either purchase short-term access to it, or be a subscriber to the journal.",journal,gtszd6u89m,"Mandarin Chinese compounds, their representation, and processing in the visual modality",Writing Systems Research,,,2011,,,,
article,,dubelaar1988,Seven Notes in Afaka Script,C. N. Dubelaar and Andre Pakosie,,Dubelaar,New West Indian Guide / Nieuwe West-Indische Gids,,,,,,1988,,,,,,146-164,,62,script-afak,,,,journal,xhjp23glxt,,New West Indian Guide / Nieuwe West-Indische Gids,,,1988,,,,
misc,,duff2000,Tibetan and Bhutanese Marks and Signs inclusion into Tibetan Unicode 3.0,Tony Duff,,Duff,,,,,,,2000,,,,Padma Karpo Translation Committee,,,,,script-tibt,,,,academic,n4sddfha9g,Tibetan and Bhutanese Marks and Signs inclusion into Tibetan Unicode 3.0,,,paper,2000,,,,
book,,dugast1950,"L'ecriture des Bamum: sa naissance, son evolution, sa valeur  phonétique, son utilisation",I. Dugast and M. D. W. Jeffreys,,Dugast,,,,,,,1950,,,,Mémoire de l'Institut Français d'Africa Noire,,,,,script-bamu,,,,book,db7c2c4b3e,,,,,1950,,,,
article,,eatough2018,Proceeding from syllable inventory to phonemic inventory in the analysis of Liangshan Yi,Andrew Eatough,,Eatough,Work Papers of the Summer Institute of Linguistics,,,,,https://commons.und.edu/sil-work-papers/vol41/iss1/1,2018-09-11,,,,,,,1,41,"script-yiii, lang-iii",,"Liangshan Yi (also known as Nosu, spoken in Sichuan Province, China) has many phonetically-interesting syllables. In this paper an articulatory description of the full range of distinctive syllables of this language is given and it is shown that the standard phonemicization of these is reasonable.(CR)(CR)(Also published: ISSN 0361-4700 and DOI 10.31356/silwp.vol41.01",An articulatory description of the full range of distinctive syllables of Nuosu Yi shows that the standard phonemicization is reasonable.,academic,vq5uzsm679,SIL Work Papers,"Work Papers of the Summer Institute of Linguistics, University of North Dakota",,paper,2018-09-11,,,,
article,,edmondson2017,Nuosu Yi,Jerold A. Edmondson and John H. Esling and Lama Ziwo (拉玛兹偓),,Edmondson,Journal of the International Phonetic Association,,,,,https://doi.org/10.1017/S0025100315000444,2017-04-01,,,0025-1003,,,87-97,47,1,"script-yiii, lang-iii",,"The Nuosu (Nosu) Yi language, or Northern Yi (北部彝语), is spoken by approximately two million people in southern Sichuan Province and northern Yunnan Province, China, the majority of whom are monolingual. Yi is a member of the Yi Branch of the Lolo-Burmese subgroup of the Tibeto-Burman family (Benedict 1972/2009, Bradley 1979), which includes some 50 languages, also called the Nisoic languages (Lama 2012) or Ngwi Group. The large (5 million) ethnic Yi nationality groups of Yunnan Province are distantly related. The third author, Lama Ziwo, who was 31 at the time of recording, produced, translated and transcribed the recorded audio data phonemically and participated in the laryngoscopic filming of the video data. He is a native speaker of the Suondip/Suondi dialect, and a fluent speaker of the Shypnra/Shengza dialect. It is the Shypnra/Shengza standard dialect that is being represented in this paper. The most distinguishing phonetic feature of Northern Yi is its systematic vocal register contrast (Matisoff 1972, Dai 1990) between two settings of the laryngeal constrictor mechanism, which are referred to as a lax (unconstricted) series and a tense (constricted) series (Edmondson et al. 2000, 2001). The contrast is realized as a distinction in resonance (spectral quality) rather than as contrasting phonation types as in some other forms of Yi or in other Tibeto-Burman languages (e.g. Bai). The consonantal inventory is large, with complex vocalic interactions, including interactions with two pairs of fricativized vowels. Northern Yi has 43 initial consonants, five pairs of vowels (or syllable rhymes), and three tones: 55, 33, and 21. Relevant reports on voice quality in related languages can be found in Maddieson and Ladefoged (1985) and Sun and Liu (1986).",Detailed study of phonetics for the standard Sichuan Yi language variety.,journal,fgajf6u6yf,Nuosu Yi (Journal of the IPA),Journal of the International Phonetic Association,0025-1003,,April 2017,,,,
online,,edward2012,‘Long lost’ Iban alphabet script ‘found’,Churchill Edward,,Edward,,,,,,https://www.theborneopost.com/2012/06/20/long-lost-iban-alphabet-script-found/,2012-06-20,2025-11-18,,,,,,,,script-iban,,,"A reference book entitled ‘The Iban Alphabet’ written by Associate Professor Dr Bromeley Philp was launched at UiTM Sarawak campus on Monday, June 18th, 2012.",webpage,,,,,,,,,,
inbook,,egginghaus1996,The Gothic Alphabet,Ernst Ebbinghaus,Peter T. Daniels and William Bright,Egginghaus,,The World's Writing Systems,,,,,1996,,,,Oxford University Press,Oxford,290-293,,,script-goth,,,,booksectn,g9r2cwkjb2,,The World's Writing Systems,,,1996,,,,
misc,,elsie,Elbasan Gospel Manuscript,Robert Elsie,,Elsie,,,,,,http://www.elsie.de/pdf/articles/A1995ElbasanMs_Fig.pdf,,2020-02-28,,,,,,,,"script-elba, lang-sqi",,,"A document describing the Elbasan Gospel Manuscript (Anonimi i Elbasanit), 1761, and the struggle for an original Albanian alphabet. A transliteration of the entire Gospel Manuscript is included.",webpage,p55nl4lx53,Elbasan Gospel Manuscript,Robert Elsie,,,accessed 2020-02-28,,,,
article,,enwall2008,Script choice among the Miao in China,Joakim Enwall,,Enwall,International Journal of the Sociology of Language,,,,,http://dx.doi.org/10.1515/IJSL.2008.041,2008,,,1613-3668,,,153-169,2008,192,"script-plrd, lang-hmd, lang-mmr, lang-hea, lang-hmq, lang-hnj",,"The present article aims at analyzing script choice among the Miao in China from the perspective of sociolinguistic aspects of script choice presented by Unseth (2005). The history of script choice among the Miao in China presents a microcosm encompassing most of the relevant factors for script choice listed by Unseth, and this gives ample opportunities for studying this phenomenon in settings that share some common traits including geography, ethnic composition, historical development, and a political system. Factors explaining the relative success of the many scripts devised for various varieties of Miao are explored. The general decreasing use of Miao scripts during the last decades must also be viewed within the context of increasing assimilation and China's rapid changes.",Discussion of the various writing systems used by the Miao.,journal,am7gfjyyru,,International Journal of the Sociology of Language,1613-3668,,,,,,
misc,,ernst1996,Tone Orthography in Kakɔ (Kakɔ East),Urs Ernst,,Ernst,,,,,,http://www.silcam.org/folder030401/page.php,1996,,,,SIL International,,,,,lang-kkj,,,"This paper proposes a new system for marking tone in the Eastern dialects of the Kakɔ language of Cameroon. The difficulties associated with use of the previous system are discussed initially, then addressed one by one in the new system. The paper is one of a number of papers available from the SIL Cameroon website. These are organized alphabetically by language; you may need to scroll through the list to find the one you are looking for.",academic,pjwdhwahle,Tone Orthography in Kakɔ (Kakɔ East),,,paper,1996,,,,
online,,esfabod2024,State of Text Rendering 2024,Behdad Esfabod,,Esfabod,,,,,,https://behdad.org/text2024/,2024-07-08,2025-11-19,,,,,,,,"fonts, rendering, opentype",,,,,,,,,,,,,,
book,,eshkol1971,The Hand Book,Noa Eshkol,,Eshkol,,,,,,,1971,,,,Movement Notation Society,Tel Aviv,,,,"script-qaah, lang-isr",,,Description of the Eshkol-Wachman movement notation for use with Israeli Sign Language (ISL).,book,fdnh2732xn,,,,,1971,,,,
online,,eslami2013,Harir - Reducing Noise in Arabic Script,Bahman Eslami,,Eslami,,,,I Love Typography,,http://ilovetypography.com/2013/09/25/harir-reducing-noise-in-arabic-script,2013-09-25,,,,,,,,,script-arab,,,"Our daily lives are full of noise, but when we immerse ourselves in reading, it seems to disappear. But what if the shapes of the words we read also contain perceptible noise? Does it disrupt the reading process, or do we learn to filter it out?",webpage,e8qjbdmbcg,,I Love Typography,,,2013-09-25,,,,
online,,eteraz2013,The Death of the Urdu Script,Ali Eteraz,,Eteraz,,,,,,https://medium.com/@eteraz/the-death-of-the-urdu-script-9ce935435d90,2013-10-08,,,,,,,,,"script-aran, lang-urd",,,Can Microsoft and Twitter save the dying Urdu nastaliq script from the hegemony of the Western alphabet and an overbearing Arab cousin?,webpage,qufzuzm9m2,,,,,2013-10-08,,,,
online,,ethiopian-history,Ethiopian History: Ge'ez,,,,,,,,,http://www.ethiopianhistory.com/Ge%27ez,,2011-08-17,,,,,,,,"script-ethi, lang-gez",,,"This article describes the development of the Ge'ez script and language, and provides a chart to illustrate the development of certain Ge'ez letters from the Sabean script.",webpage,jxzq3wgx6k,Ethiopian History: Ge'ez,ethiopianhistory.com,,,Accessed 2011-08-17,,,,
online,,ethiopic-keyboards,Ethiopic (Ge'ez) Script Keyboards,,,,,,,,,http://keyboards.ethiopic.org/,,2012-01-09,,,,,,,,"script-ethi, lang-tir, lang-muz, lang-byn, lang-bcq, lang-awn, lang-amh, lang-gez, keyboards",,,"This page lists and links to a number of Ethiopic keyboard implementations conforming to the Ge'ez Frontier Foundation specification for mnemonic based input methods. Keyboard implementations are provided for Keyman 6 and 7 as well as for the Linux systems SCIM, KMFL, M17N and GTK+.",webpage,lv662m2quv,Ethiopic (Ge'ez) Script Keyboards,ethiopic.org,,,Accessed 2012-01-09,,,,
online,f,ethnologue,Ethnologue,,,,,,,,,https://www.ethnologue.com/,,2025-11-19,,,,,,,,writing systems,,,,,,,,,,,,,,
online,f,ethnologue-codes,Three-letter Codes for Identifying Languages,,,,,,,,,https://www.ethnologue.com/codes/,,2025-11-19,,,,,,,,writing systems,,,,,,,Ethnologue,,,,,,,
book,,everson1971,Afkeenna iyo fartiisa: buug koowaad (‘Our language and its handwriting: book one’),,Michael Everson,Everson,,,,,,http://www.evertype.com/standards/iso10646/pdf/afkeenna-iyo-fartiisa.pdf,1971,,,,Industrie Graphiche della Somalia,Xamar,,,,script-osma,,,,book,cc8428caf8,,,,,,,,,
online,,evertype-europe,The Alphabets of Europe,Michael Everson,,Everson,,,,Evertype,,http://www.evertype.com/alphabets/index.html,2002-10-31,,,,,,,,,"lang-mlt, lang-kat, lang-sva, lang-lzz, lang-xmf, lang-uby, lang-abq, lang-abk, lang-ady, lang-kbd, lang-bbl, lang-che, lang-inh, lang-ani, lang-bph, lang-cji, lang-tin, lang-kpt, lang-akv, lang-khv, lang-gin, lang-kap, lang-huz, lang-dar, lang-lbe, lang-aqc, lang-kjj, lang-bdk, lang-kry, lang-rut, lang-hye, lang-rmn, lang-rml, lang-oss, lang-kur, lang-tly, lang-jdt, lang-ttt, lang-sqi, lang-ell, lang-tsd, lang-srd, lang-epo, lang-ruo, lang-ron, lang-ruq, lang-cos, lang-ita, lang-fur, lang-lld, lang-frp, lang-fra, lang-wln, lang-oci, lang-arg, lang-lad, lang-spa, lang-glg, lang-por, lang-gla, lang-glv, lang-bre, lang-cor, lang-cym, lang-dan, lang-swe, lang-fao, lang-isl, lang-nob, lang-nno, lang-deu, lang-ltz, lang-yid, lang-frs, lang-frr, lang-fry, lang-eng, lang-sco, lang-lav, lang-lit, lang-bel, lang-rus, lang-rue, lang-csb, lang-pol, lang-dsb, lang-hsb, lang-ces, lang-slk, lang-chu, lang-srp, lang-hrv, lang-bos, lang-slv, lang-bul, lang-mkd, lang-chv, lang-crh, lang-gag, lang-tur, lang-aze, lang-bak, lang-krc, lang-kdr, lang-tat, lang-kaz, lang-nog, lang-enh, lang-hun, lang-fin, lang-izh, lang-lud, lang-vot, lang-est, lang-smj, lang-sme, lang-smn, lang-sjd, lang-sms, lang-sma, lang-sjt, lang-sju, lang-kom, lang-koi, lang-udm, lang-myv, lang-mdf",,,"The Alphabets of Europe provides a source of linguistic data for the indigenous languages of Europe. The main function of these pages is to present a catalogue of European alphabets. The characters used to write each of the languages of Europe (as far as it has been possible to find information on them), are included here. Some of Europe’s languages (particularly in the Caucasus) still have no tradition of writing, though other information on such languages is provided here when it is available. Likewise, some languages have used, or continue to use, one or more than one writing system, which may also be reflected here. Scroll through the list of available languages and click on a name to retrieve a PDF file with data for that language.",webpage,earnvr6564,Evertype: The Alphabets of Europe,,,,2002-10-31,,,,
online,,evertype-gaelic,Gaelic Typefaces: History and Classification,Michael Everson,,Everson,,,,Evertype,,http://www.evertype.com/celtscript/fonthist.html,,2010-10-05,,,,,,,,script-latg,,,,webpage,dq6qyed4p2,Evertype - Gaelic Typefaces,,,,"Accessed 5 October, 2010",,,,
online,,evertype-ogham,Every Ogham Thing on the Web,Michael Everson,,Everson,,,,Evertype,,http://www.evertype.com/standards/og/ogmharc.html,,2010-08-27,,,,,,,,script-ogam,,Michael Everson’s extensive bibliography/archive of Ogham resources on the web (with links),,webpage,gwk4wjh73j,Ogham Archive,,,,Accessed 27 August 2010,,,,
online,,evertype-tengwar,ConScript Unicode Registry (Tengwar),Michael Everson,,Everson,,,,Evertype,,http://www.evertype.com/standards/csur/tengwar.html,2006-05-28,,,,,,,,,script-teng,,,"This is Michael Everson's page about the Tengwar script, in which he discusses the general principles of the script and the concept of 'modes', and proposes a Unicode encoding for the script. Links are also provided to discussion papers relating to Tengwar numbers and vowels.",webpage,jlseuungwm,ConScript Unicode Registry (Tengwar),,,,Published 2006-05-28,,,,
online,f,fea,OpenType Feature File Specification,,,,,,,Adobe,,https://github.com/adobe-type-tools/afdko/blob/develop/docs/OpenTypeFeatureFileSpecification.md,,2025-11-19,,,,,,,,"fonts, rendering, opentype",,,,,,,Github,,,,,,,
online,f,feax,feax,,,,,,,,,https://github.com/silnrsi/feax,,2025-11-19,,,,,,,,"fonts, font tools, opentype",Extensions to the fea OpenType syntax,,,,,,Github,,,,,,,
inproceedings,,fedorova2020,On the Typology of Writing Systems,Liudmila L. Fedorova,,Fedorova,,"Proceedings of Grapholinguistics in the 21st Century, 2020",,,,https://doi.org/10.36824/2020-graf-fedo,2020,,978-2-9570549-7-8,,Fluxus Editions,Brest,805-824,,,writing systems,,,,academic,,,"Proceedings of Grapholinguistics in the 21st Century, 2020",978-2-9570549-7-8,,,,,,
inbook,,ferguson1968,St. Stefan of Perm and Applied Linguistics,C. A. Ferguson,C. A. Ferguson and J. Das Gupta,Ferguson,,Language Problems of Developing Nations,,,,,1968,,,,John Wiley & Sons,New York,253-265,,,script-perm,,,,booksectn,v6v9hmlb26,,Language Problems of Developing Nations,,,1968,,,,
article,,ferlus1993,Phonetique et ecriture du Tai Qui Chau,Michel Ferlus,,Ferlus,Cahiers de Linguistique - Asie Orientale,,,,,http://www.persee.fr/web/revues/home/prescript/article/clao_0153-3320_1993_num_22_1_1432,1993,,,,,,87-106,22,,script-tayo,,,,journal,26e45fa6fd,,Cahiers de Linguistique - Asie Orientale,,,1993,,,,
article,,ferlus2006,Les écritures thai du Vietnam,Michel Ferlus,,Ferlus,Cahiers de Linguistique - Asie Orientale,,,,,http://www.persee.fr/web/revues/home/prescript/article/clao_0153-3320_2006_num_35_2_1757?_Prescripts_Search_isPortletOuvrage=false,2006,,,,,,209-239,35,2,script-tayo,,,,journal,cce2b68cae,,Cahiers de Linguistique - Asie Orientale,,,2006,,,,
inbook,,ferlus2008,"The Tai Dialects of Nghê An, Vietnam (Tay Daeng, Tay Yo, Tay Muong)",Michel Ferlus,Anthony V. N. Diller and Jerold A. Edmondson and Yongxian Luo,Ferlus,,The Tai-Kadai Languages,,,,,2008,,,,Routledge,London,298-316,,,script-tayo,,,,booksectn,6h778fhe34,,The Tai-Kadai Languages,,,2008,,,,
article,,feruglio1995,Modern Catalan Typographical Conventions,Gabriel Valiente Feruglio,,Feruglio,TUGboat,,,,,http://www.tug.org/TUGboat/Articles/tb16-3/tb48vali.pdf,1995,2011-03-30,,,,,,16,3,"char-00b7, char-0140, lang-cat",,,An article in PDF format which proposes typographical rules for standardizing writing in the Catalan (Valencian) language. Some of the rules are designed for incorporation in Catalan extensions of TeX and LaTeX. The shape and placement of the middle dot and the ŀl digraph are discussed in detail.,webpage,a2kmjfzv3y,Modern Catalan Typographical Conventions,,,,"Accessed 30 March, 2011",,,,
misc,,firdyiwek1993,The System for Ethiopic Representation in ASCII,Yitna Firdyiwek and Daniel Yaqob,,Firdyiwek,,,,,,ftp://ftp.geez.org/pub/sera-docs/sera.ps,1993,,,,The Journal Of EthioSciences,,,,,script-ethi,,A convention for the transcription of Ethiopic script into the seven bit American Standard for Computer Information Interchange (ASCII) is presented. The convention provides a mechanism for computer interchange of Ethiopic text for single byte information systems. The system of transcription is readily human readable and encompasses all elements of Ethiopic text which includes letters numbers and punctuation. The convention also provides a mechanism for the extension to multilingual text and may be employed for the keyboard entry of Ethiopic text elements.,"This paper presents a convention for transcribing Ethiopic script into ASCII. While somewhat dated (the system is pre Unicode), the paper provides an interesting look into the development of the computerization of the Ethiopic script.",academic,hempk98rlm,postscript-only (.ps) version of this paper,,,paper,1993--1997,,,,
book,,fischer1997,"Rongorongo The Easter Island Script : History, Traditions, Texts",Steven Roger Fischer,,Fischer,,,,,,,1997,,,,Oxford University Press,Oxford,,,,script-roro,,,,book,nw6af6klpy,,,,,1997,,,,
inbook,,fischer2001a,Meroitic and Coptic,Steven Roger Fischer,,Fischer,,A History of Writing,,,,,2001,,,,Reaktion Books Ltd.,London,133-136,,,script-copt,,,,booksectn,ue35dukrl7,,A History of Writing,,,2001,,,,
inbook,,fischer2001b,The Aramaic Writing Family,Steven Roger Fischer,,Fischer,,A History of Writing,,,,,2001,,,,Reaktion Books Ltd.,London,93-95,,,script-armi,,,,booksectn,funhtfscug,,A History of Writing,,,2001,,,,
online,f,flo,SIL Language Technology Font Collection,,,,,,,,,https://fonts.languagetechnology.org,,2025-11-19,,,,,,,,"fonts, font sources",,,,,,,,,,,,,,
online,f,fontdocs,fontdocs,,,,,,,,,https://github.com/silnrsi/fontdocs,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,Github,,,,,,,
online,f,fontforge,FontForge,,,,,,,,,https://fontforge.org/,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,,,,,,,,
online,f,fontlab,FontLab. Font editors and converters for Mac and Windows.,,,,,,,,,https://www.fontlab.com/,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,,,,,,,,
online,f,fontmake,fontmake,,,,,,,,,https://github.com/googlefonts/fontmake,,2025-11-19,,,,,,,,"fonts, font tools","Compile fonts from sources (UFO, Glyphs) to binary (OpenType, TrueType)",,,,,,Github,,,,,,,
online,f,fontparts,fontParts,,,,,,,,,https://github.com/robotools/fontParts,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,Github,,,,,,,
online,f,fontra,Fontra,,,,,,,,,https://fontra.xyz,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,,,,,,,,
online,f,fonttools,fontools,,,,,,,,,https://github.com/behdad/fonttools,,2025-11-19,,,,,,,,"fonts, font tools",A library to manipulate font files using python,,,,,,Github,,,,,,,
book,,franklin2002,"Writing, Society and Culture in Early Rus, c. 950-1300",Simon Franklin,,Franklin,,,,,,,2002,,,,Cambridge University Press,"Cambridge, UK",,,,script-cyrs,,,pp97-101 of Franklin's book provide a discussion of the early Cyrillic script.,book,tx4dwumwp8,,,,,2002,,,,
online,f,ftml,ftml,,,,,,,,,https://github.com/silnrsi/ftml,,2025-11-19,,,,,,,,"fonts, font tools",Font Test Markup Language Specification,,,,,,Github,,,,,,,
misc,,furniss,Documenting Hausa Popular Literature,Graham Furniss,,Furniss,,,,,,,,,,,"School of Oriental and African Studies, University of London",,,,,script-qa15,,,"This paper includes a description of the history of the Nigerian writers' circle Raina Kama which created the script of the same name. It also includes samples of the script, although these are small and somewhat indistinct when the document is viewed on-screen.(CR)(CR)Clicking the link below will download a PDF of this document from the Hausa literature database at SOAS.",academic,sq3qejvmxk,Documenting Hausa Popular Literature,,,paper,,,,,
online,,fynn,Ranjana (Lantsa) script,Christopher John Fynn,,Fynn,,,,,,http://malaiya.tripod.com/ranjana/,,2010-06-01,,,,,,,,script-ranj,,,,webpage,yhgs63d33w,Ranjana Script,,,,Accessed 1 June 2010,,,,
inbook,,gair1996a,Dhivehi Writing,James W. Gair and Bruce D. Cain,Peter T. Daniels and William Bright,Gair,,The World's Writing Systems,,,,,1996,,,,Oxford University Press,Oxford,564-568,,,"script-thaa, lang-div",,,"This chapter provides a detailed description of the historical development and current use of Thaana writing, including character tables and glossed text samples.",booksectn,qeurppc625,,The World's Writing Systems,,,1996,,,,
inbook,,gair1996b,Sinhala Writing,James W Gair,Peter T. Daniels and William Bright,Gair,,The World's Writing Systems,,,,,1996,,0-19-507993-0,,Oxford University Press,Oxford,408-412,,,script-sinh,,,,booksectn,unguutv7fc,,The World's Writing Systems,0-19-507993-0,,1996,,,,
online,,gallafent2013,Unsung heroine who helped decode Linear B,Alex Gallafent,,Gallafent,,,,BBC News,,http://www.bbc.co.uk/news/magazine-22782620,2013-06-06,,,,,,,,,script-linb,,,An account of the role played by Alice Kober in the decipherment of Linear B.,webpage,dqdrbblp3q,Alice Kober: Unsung heroine who helped decode Linear B,BBC News,,,Published 2013-06-06,,,,
article,,galtier1987,Une exemple d’ecriture traditionnelle mandingue: le “masaba” des Bambara-Masasi du Mali,Gérard Galtier,,Galtier,Journal des Africanistes,,,,,http://www.persee.fr/web/revues/home/prescript/article/jafr_0399-0346_1987_num_57_1_2174,1987,,,,,,255-266,57,1,script-qa10,,,"This article (in French) outlines the history of indigenous African writing systems, in particular the Masaba script, and includes a Masaba character chart. The features and behaviour of the Masaba script are also discussed.",journal,ejv46xeslg,Une exemple d’ecriture traditionnelle mandingue: le “masaba” des Bambara-Masasi du Mali,Journal des Africanistes,,,1987,,,,
misc,,gaultney2002,Problems of Diacritic Design for Latin Script Text Faces,Victor Gaultney,,Gaultney,,,,,,https://gaultney.org/jvgtype/typedesign/diacritics/,2002,,,,,,,,,"script-latn, fonts",,,"This essay focuses on the challenges associated with diacritic design, and the techniques designers have used to address them. After a review of the definition, origin and classification of diacritics, each major problem is identified and analysed, with an emphasis on how they have been, or could be, overcome. The analysis concludes with a review of remaining problems, some recommendations for the type design community, and comments on the future of diacritic design.(CR)(CR)Please note, this paper is originally hosted at Victor Gaultney's research page. Clicking the link below starts a direct download of the paper in PDF format.",webpage,xfbup4j4aw,Problems of Diacritic Design for Latin Script Text Faces,,,,,,,,
article,,gautam2015,Wancho: Birth of a new script,Anurag Gautam,,Gautam,TypoDay,,,,,http://www.typoday.in/2015/spk_papers/AnuragGautam_Wancho-Typographyday2015.pdf,2015,,,,,,,,,script-wcho,,,"This project is about a community who never had a script and has been trying to protect their culture and stories through generations only through verbal communication. But this is not sufficient enough to preserve everything accurately, due to the lack of a script many incidents/ stories of the past has been lost and can never be recalled accurately. Keeping this problem in mind Prof. Banwang Losu developed the Wancho alphabet and counting system after working on it for more than 11 years. This project deals with bringing life to these alphabets by developing a typeface for the script in two weights so that it can be used in print medium.",journal,usrcue4d3v,Wancho-Typographyday2015,TypoDay,,,,,,,
online,,geez-numerals,A Look at Ethiopic Numerals,,,,,,,,,http://www.geez.org/Numerals/,,2011-08-17,,,,,,,,"script-ethi, numerals",,,"This article speculates about the origins of the Ethiopic numeral system, describes some of the features of the system, and provides a formula for converting Ethiopic numerals into Western form and vice-versa.",webpage,ft7hp3sjjd,A Look at Ethiopic Numerals,geez.org,,,Accessed 2011-08-17,,,,
online,,georgian-alpha,The Georgian Alphabet and Script,,,,,,,,,http://georgianworld.tripod.com/anbani.html,,2025-11-21,,,,,,,,script-geok,,,,webpage,q3d56ahdp2,The Georgian Alphabet and Script,Georgian World,,,,,,,
article,,gessman1976,The Birth Date of the Coptic Script,Albert M. Gessman,,Gessman,University of South Florida Language Quarterly,,,,,http://www.biblical-data.org/coptic/Coptic_script.pdf,1976,,,,,,,XIV,,script-copt,,,,journal,kl7pcfe8qt,The Birth Date of the Coptic Script,University of South Florida Language Quarterly,,,Spring/Summer 1976,,,,
article,,gewertz2005,Armenia's remarkable alphabet,Ken Gewertz,,Gewertz,Harvard University Gazette,,,,,https://news.harvard.edu/gazette/story/2005/11/armenias-remarkable-alphabet/,2005-11-03,,,,,,,,,script-armn,,,,journal,fspgmnpx3c,Armenia's remarkable alphabet,Harvard University Gazette,,,3 November 2005,,,,
online,f,gf,Browse Fonts,,,,,,,Google Fonts,,https://fonts.google.com/,,2025-11-19,,,,,,,,"fonts, font sources",,,,,,,Google Fonts,,,,,,,
online,f,gf-guide,Google Fonts Guide,,,,,,,,,https://googlefonts.github.io/gf-guide/,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,Google Fonts,,,,,,,
online,f,gf-knol,Fonts Knowledge,,,,,,,Google Fonts,,https://fonts.google.com/knowledge,,2025-11-19,,,,,,,,fonts,,,,,,,Google Fonts,,,,,,,
online,f,gf-statics,Static fonts specifics,,,,,,,Google Fonts,,https://googlefonts.github.io/gf-guide/statics.html,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,Google Fonts,,,,,,,
online,f,gf-variable,Introducing variable fonts,,,,,,,Google Fonts,,https://fonts.google.com/knowledge/introducing_type/introducing_variable_fonts,,2025-11-19,,,,,,,,fonts,,,,,,,Google Fonts,,,,,,,
online,f,gf-vertical-metrics,Vertical metrics,,,,,,,Google Fonts,,https://googlefonts.github.io/gf-guide/metrics.html,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,Google Fonts,,,,,,,
